journal,impact_16,impact_5
Nature Reviews Neuroscience,28.88,37.257
Nature Neuroscience,17.839,17.398
Annual Review of Neuroscience,15.63,22.067
Behavioral and Brain Sciences,14.2,20.948
Neuron,14.024,15.832
Trends in Neuroscience,11.124,13.408
Brain,10.292,10.767
Cerebral Cortex,6.559,6.943
Neuropsychology Review,6.352,7.078
Current Opinion in Neurobiology,6.133,6.767
Journal of Neuroscience,5.988,6.562
NeuroImage,5.835,6.943
Nature,40.137,43.769
Science,37.205,38.062
PNAS,9.661,10.414